SUBCOUNTY,YEAR,EVI,LST,NDVI,latitude,longitude,Quantity,Temparature,Rainfall
Cherangany,2013,0.407732995,299.3061696,0.660395212,1.026172733,35.19162412,"107,802",19.475,1474.7
Cherangany,2014,0.35386647,299.6124049,0.591656105,1.026172733,35.19162412,"110,783",18.816,1280.9
Cherangany,2015,0.344226599,300.2381254,0.575692549,1.026172733,35.19162412,"94,669",19.6416667,1395.7
Cherangany,2016,0.36959616,300.3574772,0.613511171,1.026172733,35.19162412,"111,578",18.8466814,1254.7
Cherangany,2017,0.336154181,301.1497085,0.558912298,1.026172733,35.19162412,"78,891",19.561,1394
Cherangany,2018,0.344788329,299.7610972,0.569879744,1.026172733,35.19162412,"115,706",19.45,1626
Cherangany,2019,0.310434675,299.7466482,0.498473373,1.026172733,35.19162412,"115,706",20.325,1470
Cherangany,2020,0.388334719,300.0296273,0.646260507,1.026172733,35.19162412,"135,878",19.4791667,2157.2
Cherangany,2021,0.347997494,298.6275453,0.574452558,1.026172733,35.19162412,"110,070",19.7291667,1030.3
Cherangany,2022,0.317769802,296.0718512,O.4873344212,1.026173,35.19162412,"95,925",19.6625,1102.1
Cherangany,2023,0.372153876,300.9115949,0.620299363,1.026172733,35.19162412,"134,259",20.0677,1332.8
Endebess,2013,0.350422838,293.5736923,0.556232062,1.127661436,34.77227732,"71,868",19.475,1474.7
Endebess,2014,0.329230047,293.4348298,0.502333757,1.127661436,34.77227732,"73,855",18.816,1280.9
Endebess,2015,0.316762263,297.3500302,0.560479676,1.127661436,34.77227732,"63,113",19.6416667,1395.7
Endebess,2016,0.306232844,297.0920513,0.516487911,1.127661436,34.77227732,"66,225",18.8466814,1254.7
Endebess,2017,0.316793589,297.1008914,0.527840078,1.127661436,34.77227732,"74,759",19.561,1394
Endebess,2018,0.316822558,294.461619,0.515174624,1.127661436,34.77227732,"123,370",19.45,1626
Endebess,2019,0.30840163,296.2698578,0.500627107,1.127661436,34.77227732,"69,913",20.325,1470
Endebess,2020,0.344800704,294.8257185,0.568654943,1.127661436,34.77227732,"108,934",19.4791667,2157.2
Endebess,2021,0.326173183,297.2648615,0.551306601,1.127661436,34.77227732,"72,493",19.7291667,1030.3
Endebess,2022,0.292352952,292.9616493,0.454368095,1.127661436,34.77227732,"75,023",19.6625,1102.1
Endebess,2023,0.34503683,298.6057254,0.6055483,1.127661436,34.77227732,"73,697",20.0677,1332.8
Kiminini,2013,0.390923669,300.8053888,0.652354802,0.9219406,34.97071997,"88,141",19.475,1474.7
Kiminini,2014,0.359408314,301.0483259,0.594489116,0.9219406,34.97071997,"90,578",18.816,1280.9
Kiminini,2015,0.34791852,301.8193898,0.606070898,0.9219406,34.97071997,"77,403",19.6416667,1395.7
Kiminini,2016,0.350035386,302.2073371,0.597665974,0.9219406,34.97071997,"71,146",18.8466814,1254.7
Kiminini,2017,0.337889011,302.1523374,0.55117306,0.9219406,34.97071997,"50,805",19.561,1394
Kiminini,2018,0.339486279,300.3968893,0.564966602,0.9219406,34.97071997,"77,427",19.45,1626
Kiminini,2019,0.310830394,301.1427392,0.512356932,0.9219406,34.97071997,"80,750",20.325,1470
Kiminini,2020,0.383444073,301.9822594,0.649631233,0.9219406,34.97071997,"67,655",19.4791667,2157.2
Kiminini,2021,0.329321922,300.1391449,0.531765326,0.9219406,34.97071997,"73,210",19.7291667,1030.3
Kiminini,2022,0.310329451,298.6957586,0.484499388,0.9219406,34.97071997,"71,339",19.6625,1102.1
Kiminini,2023,0.376851032,301.9103477,0.635846657,0.9219406,34.97071997,"77,040",20.0677,1332.8
Kwanza,2013,0.359101316,300.2901995,0.612751775,1.147892117,34.97926804,"101,486",19.475,1474.7
Kwanza,2014,0.324750379,300.7043158,0.532342831,1.147892117,34.97926804,"104,293",18.816,1280.9
Kwanza,2015,0.294960337,302.2484525,0.516818782,1.147892117,34.97926804,"89,123",19.6416667,1395.7
Kwanza,2016,0.289580242,302.8850353,0.488562682,1.147892117,34.97926804,"11,460",18.8466814,1254.7
Kwanza,2017,0.299519056,303.3761926,0.475752023,1.147892117,34.97926804,"76,950",19.561,1394
Kwanza,2018,0.294392019,299.9337472,0.474645533,1.147892117,34.97926804,"115,449",19.45,1626
Kwanza,2019,0.276122988,301.153915,0.439635495,1.147892117,34.97926804,"101,990",20.325,1470
Kwanza,2020,0.34066097,300.8159408,0.58253685,1.147892117,34.97926804,"109,989",19.4791667,2157.2
Kwanza,2021,0.304457358,302.6892379,0.505481962,1.147892117,34.97926804,"88,489",19.7291667,1030.3
Kwanza,2022,0.278415823,299.9914899,0.441796328,1.147892117,34.97926804,"48,852",19.6625,1102.1
Kwanza,2023,0.324602857,302.8244376,0.558600554,1.147892117,34.97926804,"89,707",20.0677,1332.8
Saboti,2013,0.386969061,298.5621808,0.641354043,0.973806188,34.84540673,"71,868",19.475,1474.7
Saboti,2014,0.356184017,298.1898088,0.576576213,0.973806188,34.84540673,"73,855",18.816,1280.9
Saboti,2015,0.353871161,300.9536944,0.598603691,0.973806188,34.84540673,"63,113",19.6416667,1395.7
Saboti,2016,0.335690463,300.4563225,0.553122452,0.973806188,34.84540673,"66,225",18.8466814,1254.7
Saboti,2017,0.325483274,301.2432543,0.522516983,0.973806188,34.84540673,"7,125",19.561,1394
Saboti,2018,0.340163503,298.5014901,0.557495193,0.973806188,34.84540673,"70,720",19.45,1626
Saboti,2019,0.311642911,300.3729213,0.508775301,0.973806188,34.84540673,"58,140",20.325,1470
Saboti,2020,0.380463318,300.3910095,0.641010804,0.973806188,34.84540673,"66,600",19.4791667,2157.2
Saboti,2021,0.319988936,300.1751009,0.534588089,0.973806188,34.84540673,"56,140",19.7291667,1030.3
